,sm,sensor,medium,term,estimate,std.error,statistic,p.value,r2,r2adj,,,
1,12140-air,12140,air,ody_sum,0.089579116,0.00079664,112.4461111,4.70E-78,0.994729028,0.994650357,,,
2,12140-water,12140,water,ody_sum,0.155685668,0.0011993,129.8137288,3.64E-85,0.995863276,0.99580418,,,
3,12147-air,12147,air,ody_sum,0.035758924,0.000347459,102.9153917,1.71E-75,0.993713983,0.993620162,,,
4,12147-water,12147,water,ody_sum,0.065181082,0.000491437,132.6337322,8.15E-86,0.996036623,0.995980003,,,
5,12148-air,12148,air,ody_sum,0.084523219,0.000762559,110.8415822,1.22E-77,0.994576153,0.9944952,,,
6,12148-water,12148,water,ody_sum,0.147772679,0.001128128,130.9892584,1.94E-85,0.995936891,0.995878846,,,
7,12149-air,12149,air,ody_sum,0.101003561,0.000628031,160.8258822,1.99E-88,0.997416316,0.997377754,,,
8,12149-water,12149,water,ody_sum,0.169546055,0.001273271,133.1578807,6.19E-86,0.996067641,0.996011465,,,
9,12550-air,12550,air,ody_sum,0.08786459,0.000694434,126.5269581,1.80E-81,0.995832315,0.995770111,,,
10,12550-water,12550,water,ody_sum,0.156609335,0.001201699,130.3233076,2.77E-85,0.995895431,0.995836794,,,
11,12551-air,12551,air,ody_sum,0.090291989,0.000725154,124.5142143,5.24E-81,0.995697071,0.995632848,,,
12,12551-water,12551,water,ody_sum,0.163929595,0.001267162,129.367545,4.63E-85,0.995834811,0.995775309,,,
13,13061-air,13061,air,ody_sum,0.102292518,0.000803431,127.3195501,3.92E-58,0.997293019,0.997231496,,,
14,13061-water,13061,water,ody_sum,0.172862542,0.000636954,271.3894675,3.89E-78,0.999348713,0.999335145,,,
15,13062-air,13062,air,ody_sum,0.098115024,0.000665835,147.3563214,6.41E-61,0.997977745,0.997931784,,,
16,13062-water,13062,water,ody_sum,0.163097902,0.000524882,310.7327158,5.88E-81,0.99950312,0.999492768,,,
17,13063-air,13063,air,ody_sum,0.046487285,0.000503107,92.400391,4.97E-52,0.99487289,0.994756365,,,
18,13063-water,13063,water,ody_sum,0.078216707,0.00033609,232.7254483,6.18E-75,0.99911454,0.999096093,,,
19,13064-air,13064,air,ody_sum,0.042566597,0.000501756,84.83521612,2.09E-50,0.993923503,0.993785401,,,
20,13064-water,13064,water,ody_sum,0.070729346,0.000221094,319.905968,1.46E-81,0.999531194,0.999521427,,,
21,13065-air,13065,air,ody_sum,0.044282785,0.000549579,80.57578678,1.98E-49,0.993268525,0.993115537,,,0.081530222
22,13065-water,13065,water,ody_sum,0.075554319,0.000276469,273.2827515,2.79E-78,0.9993577,0.999344319,,,
23,13066-air,13066,air,ody_sum,0.109741518,0.000908136,120.8426464,3.87E-57,0.996995961,0.996927687,,,
24,13066-water,13066,water,ody_sum,0.188485172,0.00064253,293.3482668,9.31E-80,0.999442517,0.999430902,,,
25,39623-water,39623,water,ody_sum,0.148280058,0.001028632,144.1526978,1.19E-31,0.999038462,0.998990385,,,
26,39624-air,39624,air,ody_sum,0.081530222,0.000420982,193.6669913,2.02E-241,0.994353114,0.994326603,,,
27,39624-water,39624,water,ody_sum,0.125847876,0.000453887,277.2671966,0,0.996306477,0.996293517,,,
28,39625-water,39625,water,ody_sum,0.114278771,0.000583296,195.9189895,2.59E-34,0.999479224,0.999453186,,,
29,39810-air,39810,air,ody_sum,0.152875868,0.000882678,173.1955503,6.71E-138,0.996280145,0.996246932,,,
30,39810-water,39810,water,ody_sum,0.248787916,0.001957609,127.087651,6.05E-129,0.992686047,0.992624585,,,
31,39811-air,39811,air,ody_sum,0.095230928,0.000404973,235.1539873,2.89E-242,0.996468048,0.996450028,,,
32,39811-water,39811,water,ody_sum,0.148603729,0.000641842,231.5268354,1.03E-265,0.995894153,0.995875574,,,
33,39812-air,39812,air,ody_sum,0.109234618,0.000605297,180.4643993,6.82E-140,0.996572764,0.996542164,,,
34,39812-water,39812,water,ody_sum,0.177531394,0.001056841,167.9830207,2.78E-143,0.995800587,0.995765298,,,
35,39817-air,39817,air,ody_sum,0.090672321,0.000664535,136.4447461,2.38E-141,0.993118594,0.99306525,,,
36,39817-water,39817,water,ody_sum,0.167667578,0.000866787,193.4357475,1.57E-193,0.995689126,0.995662516,,,
37,4587-air,4587,air,ody_sum,0.042679126,0.000197363,216.24679,1.43E-251,0.995465738,0.995444451,,,
38,4587-water,4587,water,ody_sum,0.0650586,0.000245556,264.944223,2.56914135837448e-322,0.996253164,0.996238971,,,
39,4588-air,4588,air,ody_sum,0.038119283,0.000189257,201.4155821,1.88E-223,0.995338366,0.995313831,,,
40,4588-water,4588,water,ody_sum,0.060373157,0.000158261,381.4781949,0,0.998339823,0.998332963,,,
41,4589-air,4589,air,ody_sum,0.039801628,0.000673717,59.07766363,6.13E-152,0.931166415,0.930899619,,,
42,4589-water,4589,water,ody_sum,0.064602234,0.000829707,77.86154531,6.48E-207,0.950905197,0.950748345,,,
43,4590-air,4590,air,ody_sum,0.044794271,0.000229417,195.25283,6.70E-221,0.995040934,0.995014834,,,
44,4590-water,4590,water,ody_sum,0.073965575,0.000201382,367.2900288,0,0.99805423,0.998046831,,,
45,4591-air,4591,air,ody_sum,0.037246622,0.000115816,321.6009061,1.20E-213,0.998561445,0.99855179,,,
46,4591-water,4591,water,ody_sum,0.061463799,0.000349645,175.7890936,2.78E-212,0.993889065,0.993856902,,,
47,4592-air,4592,air,ody_sum,0.042219303,0.000313896,134.500853,2.28E-190,0.9896064,0.989551696,,,
48,4592-water,4592,water,ody_sum,0.06030396,0.000197876,304.7564576,0,0.997176279,0.997165542,,,
49,4593-air,4593,air,ody_sum,0.041616065,0.000256987,161.93864,7.59E-121,0.996276896,0.996238905,,,
50,4593-water,4593,water,ody_sum,0.063720542,0.000314754,202.445475,1.13E-175,0.996571443,0.996547127,,,
51,4594-air,4594,air,ody_sum,0.048659009,0.000197519,246.3513786,1.17E-138,0.998387813,0.998371362,,,
52,4594-water,4594,water,ody_sum,0.071948038,0.000469129,153.3652655,4.13E-130,0.995345079,0.995302761,,,
53,4595-air,4595,air,ody_sum,0.033197832,0.000589237,56.34038186,1.59E-120,0.943523626,0.943226382,,,
54,4595-water,4595,water,ody_sum,0.055036118,0.000556573,98.88400484,1.13E-197,0.975848415,0.975748615,,,
55,4597-air,4597,air,ody_sum,0.0408242,0.000189124,215.8593545,3.84E-229,0.995938892,0.995917518,,,
56,4597-water,4597,water,ody_sum,0.067964821,0.000185116,367.1462211,0,0.998207916,0.998200511,,,
57,4598-air,4598,air,ody_sum,0.041341118,0.00017251,239.645314,9.77E-238,0.996702527,0.996685172,,,
58,4598-water,4598,water,ody_sum,0.062435742,0.000221321,282.1051715,9.84E-307,0.996968381,0.996955853,,,
59,4599-air,4599,air,ody_sum,0.046600401,0.000166347,280.1388839,1.39E-250,0.99758478,0.997572069,,,
60,4599-water,4599,water,ody_sum,0.075436194,0.000241355,312.5526656,1.77968176793509e-317,0.997528877,0.997518665,,,
61,4600-air,4600,air,ody_sum,0.042728673,0.00020355,209.9170136,3.18E-147,0.997464753,0.997442117,,,
62,4600-water,4600,water,ody_sum,0.071741116,0.000497058,144.3314481,1.77E-135,0.994319963,0.994272231,,,
63,4601-air,4601,air,ody_sum,0.034924399,0.000182165,191.7189758,2.12E-219,0.994857382,0.994830316,,,
64,4601-water,4601,water,ody_sum,0.056699253,0.000166169,341.2149636,0,0.997925767,0.997917196,,,
65,49501-air,49501,air,ody_sum,0.070507115,0.000362165,194.6822387,1.44E-143,0.997053653,0.997027346,,,
66,49501-water,49501,water,ody_sum,0.112391151,0.00064783,173.4887679,6.08E-145,0.996061865,0.996028772,,,
67,49502-air,49502,air,ody_sum,0.084175838,0.000270737,310.9136425,0,0.997338156,0.997327839,,,
68,49502-water,49502,water,ody_sum,0.134772065,0.000536471,251.2198587,0,0.995064992,0.995049225,,,
69,49504-air,49504,air,ody_sum,0.060460294,0.000362569,166.7551494,4.60E-136,0.995988435,0.995952618,,,
70,49504-water,49504,water,ody_sum,0.088399011,0.000510842,173.0455619,8.23E-145,0.996041747,0.996008484,,,
71,49505-air,49505,air,ody_sum,0.063600459,0.00230309,27.61526963,8.32E-52,0.871941915,0.87079854,,,
72,49505-water,49505,water,ody_sum,0.104465663,0.003959671,26.38241275,1.50E-51,0.853993409,0.852766463,,,
73,49506-air,49506,air,ody_sum,0.066623691,0.000246238,270.5662943,1.52E-159,0.99847241,0.998458771,,,
74,49506-water,49506,water,ody_sum,0.105742243,0.000595047,177.7039886,3.53E-146,0.996245785,0.996214237,,,
75,5988-air,5988,air,ody_sum,0.100114468,0.003358519,29.80911326,1.90E-15,0.982312297,0.981206815,,,
76,5988-water,5988,water,ody_sum,0.173712188,0.002134986,81.36456735,1.57E-65,0.990573368,0.990423739,,,
77,5989-water,5989,water,ody_sum,0.100606269,0.000496384,202.6784849,1.31E-34,0.999513365,0.999489033,,,
78,5990-air,5990,air,ody_sum,0.04901202,0.000289734,169.1623172,4.48E-194,0.993990737,0.993956002,,,
79,5990-water,5990,water,ody_sum,0.079358569,0.000349086,227.3327546,5.36E-263,0.995761094,0.995741826,,,
80,5991-air,5991,air,ody_sum,0.056021569,0.00048491,115.5297512,2.75E-69,0.995747577,0.995672973,,,
81,5991-water,5991,water,ody_sum,0.10318034,0.000367892,280.4637561,4.27E-244,0.997666275,0.997653592,,,
82,5992-air,5992,air,ody_sum,0.048825814,0.000399792,122.1279961,6.75E-109,0.993472432,0.993405824,,,
83,5992-water,5992,water,ody_sum,0.078724829,0.000324419,242.6642665,2.00E-209,0.997256467,0.997239531,,,
84,5993-air,5993,air,ody_sum,0.050214845,0.000257528,194.987541,2.98E-161,0.996618535,0.996592322,,,
85,5993-water,5993,water,ody_sum,0.087217463,0.000383877,227.2014922,2.64E-226,0.996467421,0.996448118,,,
86,5994-air,5994,air,ody_sum,0.051738075,0.000271361,190.6617219,5.33E-160,0.996463902,0.996436491,,,
87,5994-water,5994,water,ody_sum,0.086245572,0.000636371,135.5271828,1.71E-185,0.990135099,0.990081193,,,
88,5995-air,5995,air,ody_sum,0.100645801,0.002984124,33.72708372,2.71E-16,0.986129367,0.985262452,,,
89,5995-water,5995,water,ody_sum,0.189911204,0.002072701,91.62498333,9.38E-69,0.992551552,0.992433322,,,
90,5996-air,5996,air,ody_sum,0.049435899,0.000398754,123.9758587,2.14E-155,0.990143666,0.990079246,,,
91,5996-water,5996,water,ody_sum,0.084324996,0.000154148,547.0404202,0,0.999288734,0.999285395,,,
92,5997-air,5997,air,ody_sum,0.05687257,0.00043468,130.8376785,2.14E-152,0.991600775,0.99154285,,,
93,5997-water,5997,water,ody_sum,0.086937468,0.00019416,447.7613885,5.21436882620852e-320,0.998933755,0.998928772,,,
94,5998-air,5998,air,ody_sum,0.061203761,0.000330074,185.424191,2.97E-55,0.99895404,0.998924985,,,
95,5998-water,5998,water,ody_sum,0.098718716,0.000247071,399.5560494,2.75E-119,0.999561719,0.999555458,,,
96,5999-air,5999,air,ody_sum,0.052840054,0.000352762,149.7897183,1.23E-145,0.994327488,0.994283172,,,
97,5999-water,5999,water,ody_sum,0.086565222,0.00025373,341.1709201,3.26E-244,0.998533053,0.998524474,,,
98,6000-air,6000,air,ody_sum,0.045892512,0.000112237,408.8886572,2.53E-201,0.999234989,0.999229013,,,
99,6000-water,6000,water,ody_sum,0.076515966,0.000156525,488.8422828,6.79E-271,0.999284931,0.999280749,,,
100,6001-air,6001,air,ody_sum,0.060120885,0.000196635,305.7485365,3.50E-185,0.998632627,0.998621945,,,
101,6001-water,6001,water,ody_sum,0.102225992,0.000187583,544.9637303,5.83E-279,0.999424546,0.99942118,,,
102,6002-air,6002,air,ody_sum,0.045625652,0.000190516,239.4843136,5.66E-261,0.996299882,0.996282511,,,
103,6002-water,6002,water,ody_sum,0.078639531,0.000214664,366.3369167,0,0.998036689,0.998029252,,,
104,6003-air,6003,air,ody_sum,0.058549029,0.000298553,196.1095641,4.01E-205,0.995521843,0.995495957,,,
105,6003-water,6003,water,ody_sum,0.09316837,0.000133434,698.2366642,0,0.999548953,0.999546903,,,
106,6004-air,6004,air,ody_sum,0.054244974,0.000303294,178.8525047,1.06E-213,0.994095385,0.994064308,,,
107,6004-water,6004,water,ody_sum,0.08463583,0.00018451,458.7052676,0,0.998751623,0.998746876,,,
108,6005-water,6005,water,ody_sum,0.103540394,0.000467532,221.4617241,2.23E-35,0.99959238,0.999571999,,,
109,6006-air,6006,air,ody_sum,0.05127141,0.000382512,134.0386227,4.35E-190,0.989535343,0.989480266,,,
110,6006-water,6006,water,ody_sum,0.078519893,0.000467079,168.1083186,1.14E-269,0.990779503,0.990744444,,,
111,6007-air,6007,air,ody_sum,0.04579683,0.000273713,167.3172136,3.11E-208,0.993258838,0.993223358,,,
112,6007-water,6007,water,ody_sum,0.07312841,0.00033765,216.5807883,2.14E-298,0.99442445,0.994403251,,,
113,6008-water,6008,water,ody_sum,0.096341101,0.000412242,233.7003981,7.61E-36,0.99963394,0.999615637,,,
114,6009-air,6009,air,ody_sum,0.067188394,0.000675282,99.49685287,7.58E-166,0.981168772,0.981069661,,,
115,6009-water,6009,water,ody_sum,0.097267189,0.000192829,504.4208216,0,0.998967426,0.9989635,,,
116,6010-air,6010,air,ody_sum,0.055324271,0.000288368,191.8529286,1.76E-203,0.995321865,0.995294823,,,
117,6010-water,6010,water,ody_sum,0.085748422,0.000248675,344.8216011,1.09E-302,0.998153153,0.998144758,,,
118,6011-air,6011,air,ody_sum,0.049097321,0.000243802,201.3818232,4.16E-207,0.99575227,0.995727717,,,
119,6011-water,6011,water,ody_sum,0.082375517,0.000203609,404.5765688,6.20429851684187e-318,0.998657736,0.998651635,,,
120,6012-air,6012,air,ody_sum,0.058304718,0.000500964,116.3850595,6.29E-92,0.994055692,0.993982306,,,
121,6012-water,6012,water,ody_sum,0.106271778,0.001070004,99.31903731,2.54E-116,0.988080059,0.987979892,,,
122,6420-air,6420,air,ody_sum,0.055697152,0.000266824,208.741024,2.19E-226,0.995658415,0.995635564,,,
123,6420-water,6420,water,ody_sum,0.087335202,0.000178048,490.5148336,0,0.998908115,0.998903963,,,
124,6421-air,6421,air,ody_sum,0.059303398,0.001840104,32.22827844,5.55E-16,0.984829262,0.983881091,,,
125,6421-water,6421,water,ody_sum,0.101717008,0.001053287,96.57106241,3.50E-70,0.993289999,0.993183491,,,
126,6422-air,6422,air,ody_sum,0.066428381,0.002134472,31.12168708,9.62E-16,0.983749076,0.982733393,,,
127,6422-water,6422,water,ody_sum,0.114483447,0.00118798,96.36814721,3.99E-70,0.993261902,0.993154948,,,
128,6423-air,6423,air,ody_sum,0.054860053,0.000321102,170.8493315,6.04E-210,0.993532904,0.993498867,,,
129,6423-water,6423,water,ody_sum,0.087281301,0.000335821,259.9040558,3.97021271685109e-319,0.996121694,0.996106948,,,
130,6424-air,6424,air,ody_sum,0.069481808,0.000364269,190.7431006,5.55E-219,0.994804901,0.994777558,,,
131,6424-water,6424,water,ody_sum,0.110511493,0.000186589,592.2732519,0,0.99925082,0.999247972,,,
132,6425-air,6425,air,ody_sum,0.059299786,0.000311778,190.1985991,1.28E-264,0.993382122,0.993354662,,,
133,6425-water,6425,water,ody_sum,0.095837609,0.000297501,322.1422648,0,0.997404985,0.997395374,,,
134,6426-air,6426,air,ody_sum,0.055504959,0.00019916,278.6959825,3.70E-250,0.997559768,0.997546925,,,
135,6426-water,6426,water,ody_sum,0.094785805,0.000224904,421.4498313,0,0.9985215,0.998515878,,,
136,6427-air,6427,air,ody_sum,0.100016238,0.000414129,241.5100441,3.78E-195,0.997451951,0.99743485,,,
137,6427-water,6427,water,ody_sum,0.168557513,0.000740196,227.7201125,1.54E-233,0.996349415,0.996330201,,,
138,6428-air,6428,air,ody_sum,0.060586434,0.000193126,313.7146707,1.01E-126,0.999177647,0.999167495,,,
139,6428-water,6428,water,ody_sum,0.094790358,0.000314011,301.8697956,1.68E-173,0.99869581,0.99868485,,,
140,6429-air,6429,air,ody_sum,0.067508622,0.000197641,341.5717904,0,0.997793538,0.997784986,,,
141,6429-water,6429,water,ody_sum,0.113249154,0.000328928,344.2975627,0,0.997190322,0.997181909,,,
142,6430-air,6430,air,ody_sum,0.008223677,0.000663192,12.40014644,2.07E-25,0.480866542,0.477739232,,,
143,6430-water,6430,water,ody_sum,0.003009011,0.000294483,10.21794745,1.72E-20,0.309438216,0.306474432,,,
144,6431-air,6431,air,ody_sum,0.062038532,0.00221695,27.98373051,5.12E-15,0.979977203,0.978725779,,,
145,6431-water,6431,water,ody_sum,0.111993312,0.001171489,95.59911652,6.59E-70,0.993153804,0.993045135,,,
146,6432-air,6432,air,ody_sum,0.050998439,0.001588045,32.11397855,5.87E-16,0.984722731,0.983767902,,,
147,6432-water,6432,water,ody_sum,0.091564495,0.001309004,69.94972622,1.93E-61,0.987288044,0.987086267,,,
148,6433-air,6433,air,ody_sum,0.059012809,0.001857812,31.76468569,6.97E-16,0.984390172,0.983414557,,,
149,6433-water,6433,water,ody_sum,0.104935749,0.001099626,95.4285806,7.36E-70,0.993129482,0.993020426,,,
150,6434-air,6434,air,ody_sum,0.052042119,0.004855916,10.71726154,1.04E-08,0.877731642,0.87008987,,,
151,6434-water,6434,water,ody_sum,0.090049202,0.002329407,38.65756662,1.34E-45,0.959548158,0.958906066,,,
152,6435-air,6435,air,ody_sum,0.060203082,0.00177968,33.828033,2.58E-16,0.986210888,0.985349069,,,
153,6435-water,6435,water,ody_sum,0.09084335,0.000948199,95.80616693,5.75E-70,0.993183162,0.993074958,,,
154,6436-air,6436,air,ody_sum,0.05661383,0.001696703,33.36697323,3.21E-16,0.98583262,0.984947159,,,
155,6436-water,6436,water,ody_sum,0.099720281,0.001018374,97.92105216,1.47E-70,0.993472539,0.993368929,,,
156,6437-air,6437,air,ody_sum,0.058740788,0.00190263,30.87346083,1.09E-15,0.983491038,0.982459228,,,
157,6437-water,6437,water,ody_sum,0.109666925,0.001542585,71.09294584,7.04E-62,0.987688596,0.987493177,,,
158,6438-air,6438,air,ody_sum,0.048381436,0.001503786,32.17308221,5.70E-16,0.984777956,0.983826579,,,
159,6438-water,6438,water,ody_sum,0.084897718,0.000873791,97.16024062,2.39E-70,0.993370593,0.993265364,,,
160,6439-air,6439,air,ody_sum,0.070869037,0.00210015,33.74475731,2.69E-16,0.986143691,0.985277672,,,
161,6439-water,6439,water,ody_sum,0.11682557,0.001237216,94.42620454,1.43E-69,0.992983869,0.992872502,,,
162,7416-air,7416,air,ody_sum,0.031688961,0.000879639,36.0249487,9.55E-17,0.987821558,0.987060405,,,
163,7416-water,7416,water,ody_sum,0.054643521,0.001137496,48.03844889,2.45E-38,0.982125321,0.981699734,,,
164,7417-air,7417,air,ody_sum,0.034039531,0.000899847,37.82814484,4.41E-17,0.9889424,0.9882513,,,
165,7417-water,7417,water,ody_sum,0.055155402,0.00115861,47.60482307,3.56E-38,0.981804154,0.98137092,,,
166,7418-air,7418,air,ody_sum,0.031188177,0.000851756,36.61632737,7.38E-17,0.98820716,0.987470107,,,
167,7418-water,7418,water,ody_sum,0.048910485,0.001015747,48.15224818,2.22E-38,0.982208207,0.981784593,,,
168,7419-air,7419,air,ody_sum,0.033572596,0.000947495,35.43300109,1.24E-16,0.987416413,0.986629939,,,
169,7419-water,7419,water,ody_sum,0.051241497,0.001067305,48.01017825,2.51E-38,0.982104641,0.981678561,,,
170,7991-air,7991,air,ody_sum,0.039981218,0.000237423,168.3964073,7.20E-105,0.997151733,0.99711657,,,
171,7991-water,7991,water,ody_sum,0.068904572,0.000361251,190.7387604,8.62E-128,0.997313543,0.99728613,,,
172,7992-air,7992,air,ody_sum,0.039476839,0.000195246,202.1903406,2.10E-145,0.997267822,0.997243427,,,
173,7992-water,7992,water,ody_sum,0.065544976,0.00035399,185.1606927,2.70E-148,0.996541048,0.996511981,,,
174,7993-air,7993,air,ody_sum,0.049876226,0.000292552,170.4866009,6.08E-54,0.998762958,0.998728596,,,
175,7993-water,7993,water,ody_sum,0.077459513,0.000248778,311.3600058,1.95E-82,0.999494814,0.999484504,,,
176,7994-air,7994,air,ody_sum,0.04293028,0.000541804,79.23579882,5.36E-42,0.994298666,0.994140296,,,
177,7994-water,7994,water,ody_sum,0.064707439,0.000435236,148.6719227,1.00E-66,0.997788044,0.997742902,,,
178,7995-air,7995,air,ody_sum,0.042241424,0.000180374,234.1879713,3.67E-193,0.997290565,0.99727238,,,
179,7995-water,7995,water,ody_sum,0.067254635,0.000326695,205.8634415,8.01E-205,0.996028086,0.996004584,,,
180,7996-air,7996,air,ody_sum,0.042821518,0.000181243,236.2660102,4.86E-59,0.999355504,0.999337602,,,
181,7996-water,7996,water,ody_sum,0.076249272,0.000444185,171.6608799,8.88E-70,0.998339909,0.99830603,,,
182,7997-air,7997,air,ody_sum,0.040976565,0.000354365,115.633882,6.96E-48,0.997314875,0.997240288,,,
183,7997-water,7997,water,ody_sum,0.074733511,0.000468788,159.4187241,3.31E-68,0.998075664,0.998036392,,,
184,7998-air,7998,air,ody_sum,0.049638471,0.000430989,115.1734012,8.03E-48,0.997293419,0.997218236,,,
185,7998-water,7998,water,ody_sum,0.081306841,0.000454041,179.0736547,1.12E-70,0.998474298,0.998443162,,,
186,7999-air,7999,air,ody_sum,0.03894339,0.000246319,158.1016537,7.66E-168,0.9940744,0.994034631,,,
187,7999-water,7999,water,ody_sum,0.067740751,0.000412294,164.301997,2.36E-188,0.993778564,0.993741751,,,
188,8000-air,8000,air,ody_sum,0.039886037,0.000221692,179.9165269,3.43E-107,0.997503926,0.99747311,,,
189,8000-water,8000,water,ody_sum,0.064473189,0.000410881,156.9146917,1.65E-119,0.996035634,0.995995181,,,
190,8001-air,8001,air,ody_sum,0.04194617,0.000331945,126.3649244,8.32E-95,0.994952986,0.994890677,,,
191,8001-water,8001,water,ody_sum,0.065590196,0.000285215,229.9679088,9.84E-136,0.998150358,0.998131485,,,
192,8002-air,8002,air,ody_sum,0.040888091,0.000212766,192.1736185,1.67E-109,0.997811503,0.997784484,,,
193,8002-water,8002,water,ody_sum,0.066337517,0.000339153,195.5975534,7.38E-129,0.997445016,0.997418945,,,
194,8046-air,8046,air,ody_sum,0.042785253,0.000173708,246.3058958,2.03E-196,0.997549971,0.997533527,,,
195,8046-water,8046,water,ody_sum,0.076070182,0.000279897,271.7788189,3.78E-225,0.997717226,0.997703718,,,
196,8047-air,8047,air,ody_sum,0.034469226,0.000176393,195.4112057,1.74E-181,0.996113166,0.99608708,,,
197,8047-water,8047,water,ody_sum,0.062727165,0.000294311,213.132234,2.33E-207,0.9962934,0.996271468,,,
198,8048-air,8048,air,ody_sum,0.036214107,0.000240541,150.5526174,1.07E-164,0.993469235,0.993425404,,,
199,8048-water,8048,water,ody_sum,0.065077973,0.000249094,261.2588105,2.94E-222,0.997530148,0.997515534,,,
200,8049-air,8049,air,ody_sum,0.043039622,0.000138525,310.6998459,2.55E-63,0.999627215,0.99961686,,,
201,8049-water,8049,water,ody_sum,0.066769281,0.000218914,305.0021993,5.35E-82,0.999473545,0.999462801,,,
202,8050-air,8050,air,ody_sum,0.035307832,0.000224566,157.2268967,1.74E-167,0.994008677,0.993968466,,,
203,8050-water,8050,water,ody_sum,0.065652483,0.000393008,167.0513305,1.45E-189,0.993980441,0.993944822,,,
204,8051-air,8051,air,ody_sum,0.03898178,0.000126036,309.2913781,3.01E-63,0.999623813,0.999613364,,,
205,8051-water,8051,water,ody_sum,0.074800119,0.000417056,179.3527176,1.04E-70,0.998479035,0.998447995,,,
206,8052-air,8052,air,ody_sum,0.044551178,0.000210052,212.0961215,2.36E-57,0.999200369,0.999178157,,,
207,8052-water,8052,water,ody_sum,0.078185359,0.000267768,291.9889247,4.52E-81,0.999425601,0.999413878,,,
208,8053-air,8053,air,ody_sum,0.037959232,0.000316327,120.0001358,5.36E-93,0.994406476,0.99433742,,,
209,8053-water,8053,water,ody_sum,0.061760543,0.000424878,145.3604975,2.87E-116,0.995383385,0.995336277,,,
,,39627,water,,0.129468902,,,,,,,,
,,39626,water,,0.129468902,,,,,,,,
,,39627,air,,0.081530222,,,,,,,,
,,39626,air,,0.081530222,,,,,,,,
